Downloaded,ID,Type,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Content,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,
,Done,199,"



Comitê de Etica ",,,,,Comitê de Etica ,"rayyan-197782526,""Social Media, Research, and Ethics: Does Participant Willingness Matter?"",2020,8,,Yearbook of medical informatics,2364-0502 (Electronic),29,1,176-183,Staccini P and Lau AYS,https://pubmed.ncbi.nlm.nih.gov/32823313/,eng,,Germany,""OBJECTIVE: To summarise the state of the art published in 2019 in consumer health informatics and education, with a special emphasis on """"Ethics and Health Informatics"""". METHODS: We conducted a systematic search of articles published in PubMed using a predefined set of queries, which identified 368 potential articles for review. These articles were screened according to topic relevance and 15 were selected for consideration of best paper candidates, which were then presented to a panel of international experts for full paper review and scoring. The top five papers according to the external reviewers' ranking were discussed in a consensus meeting. Finally, the paper that received the highest score from four of the five experts was selected as the best paper on social media and ethics for patients and consumers of the year 2019. RESULTS: Despite using the terms """"ethics"""" and """"ethical"""" in the search query, we retrieved very few articles. The bibliometric analysis identified three major clusters centred on """"social"""", """"health"""", and """"study"""". Among the top five papers, one was a review where the authors identified ethical issues across four areas at the intersection of social media and health: 1) the impact of social networking sites on the doctor-patient relationship", 2) the development of e-health platforms to deliver care, 3) the use of online data and algorithms to inform health research," and 4) the broader public health consequences of widespread social media use. The other papers highlighted ethical concerns in using social media to interact with patients at different phases of a clinical research protocol, such as recruitment phase, participant engagement, data linkage, and detection and monitoring of adverse events. CONCLUSIONS: Findings suggest that most users do not think that using social media for patient monitoring in clinical research, for example using Twitter for clinical trial recruitment, constitutes inappropriate surveillance or a violation of privacy. However, further research is needed to identify whether and how views on ethical concerns differed between social media platforms and across populations."",""RAYYAN-INCLUSION: {""""Monique""""=>""""Included""""}"",10.1055/s-0040-1702022,Consumer Health Informatics/*ethics",Female,Humans,Information Dissemination/ethics,Male,
,Done,200,"



Comitê de Etica População",,,,,Comitê de Etica População,"rayyan-197782528,Secondary use of health care data and left-over biosamples within the 'Medical Informatics Initiative' (MII): a quasi-randomized controlled evaluation of patient perceptions and preferences regarding the consent process.,2022,7,15,BMC medical informatics and decision making,1472-6947 (Electronic),22,1,184,Roschka S and Leddig T and Bullerjahn M and Richter G and Liedtke W and Langanke M and Hoffmann W,https://pubmed.ncbi.nlm.nih.gov/35840947/,eng,,England,""BACKGROUND: Data collected during routine health care and ensuing analytical results bear the potential to provide valuable information to improve the overall health care of patients. However, little is known about how patients prefer to be informed about the possible usage of their routine data and/or biosamples for research purposes before reaching a consent decision. Specifically, we investigated the setting, the timing and the responsible staff for the information and consent process. METHODS: We performed a quasi-randomized controlled trial and compared the method by which patients were informed either in the patient admission area following patient admission by the same staff member (Group A) or in a separate room by another staff member (Group B). The consent decision was hypothetical in nature. Additionally, we evaluated if there was the need for additional time after the information session and before taking the consent decision. Data were collected during a structured interview based on questionnaires where participants reflected on the information and consent process they went through. RESULTS: Questionnaire data were obtained from 157 participants in Group A and 106 participants in Group B. Overall, participants in both groups were satisfied with their experienced process and with the way information was provided. They reported that their (hypothetical) consent decision was freely made. Approximately half of the interested participants in Group B did not show up in the separate room, while all interested participants in Group A could be informed about the secondary use of their routine data and left-over samples. No participants, except for one in Group B, wanted to take extra time for their consent decision. The hypothetical consent rate for both routine data and left-over samples was very high in both groups. CONCLUSIONS: The willingness to support medical research by allowing the use of routine data and left-over samples seems to be widespread among patients. Information concerning this secondary data use may be given by trained administrative staff immediately following patient admission. Patients mainly prefer making a consent decision directly after information is provided and discussed. Furthermore, less patients are informed when the process is organized in a separate room."",""RAYYAN-INCLUSION: {""""Monique""""=>""""Included""""}"",10.1186/s12911-022-01922-6,*Biomedical Research",Delivery of Health Care,Humans,Informed Consent,*Medical Informatics,"Surveys and Questionnaires,35840947,PMC9287940",,,
,Done,201,"



Comitê de Etica Pesquisadores",,,,,Comitê de Etica Pesquisadores,"rayyan-197782530,Benefits and risks of health data reuse for healthcare providers: stakeholder perspectives from a qualitative interview study.,2025,3,18,BMC health services research,1472-6963 (Electronic),25,1,402,Stark S and Schorr SG and Pittelkow MM and Strech D,https://pubmed.ncbi.nlm.nih.gov/40102872/,eng,,England,""BACKGROUND: Reusing health data, for example for research into the quality of care or healthcare planning, has far-reaching potential. Current ethical discussions on developing health data platforms (e.g. the German Medical Informatics Initiative, MII) have primarily addressed patient-related benefits and risks of reusing this data. Less is known about the perspectives of healthcare providers, such as hospitals, that make health data available through these platforms. However, the risks they perceive and a resulting reluctance to share data, along with the lack of strategies for managing these risks, could significantly impede research with health data. In this exploratory qualitative study, we investigated the interests and risks relevant to healthcare providers in the secondary use of health data, and strategies to address these risks (pre-registration: https://osf.io/uxds ). METHODS: We conducted online expert interviews (N = 21) between May and August 2023 with German representatives of different stakeholder groups (e.g. healthcare providers, researchers, patient representatives, data protection officers) with expertise in the secondary use of health data and the associated interests and risks for providers. We analysed the data using the deductive-inductive approach to qualitative content analysis. RESULTS: Interviewees attributed several potentials reusing health data, such as improving healthcare quality and transparency. They also pointed to risks, including their causes and consequences for providers' reputation, economic and existential situation. Risks included a) biased results and interpretation of data analyses due to inadequate data validity and inappropriate analytical approaches, b) questionable reuse purposes, c) liability risks due to a lack of control over shared data and unresolved legal questions, and d) improved transparency that may reveal challenges and misconduct in healthcare. Suggested strategies for risk mitigation related to use and access decisions on secondary use requests. These include a) developing risk-reducing policies, b) ensuring transparent decision-making processes by involving all relevant stakeholders and applying structured risk-benefit assessments, and c) measures to improve the validity of secondary analyses. In addition, the interviewees identified further need for action to be addressed by providers, researchers and policymakers. CONCLUSION: These findings point to needs and opportunities for action to manage risks that providers associate with health data reuse. Decision-making processes on secondary use requests should be based on normative principles, and quality, safety and trust in health data reuse should be enhanced. These recommendations should be taken up by responsible stakeholders in initiatives such as the MII, among researchers and policymakers to reduce reluctance and promote research with health data."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12913-025-12500-7,Humans",*Qualitative Research,*Health Personnel/psychology,*Interviews as Topic,Risk Assessment,Germany,Stakeholder Participation,Attitude of Health Personnel,
,Done,203,"



Pesquisadores Profissionais",,,,,Pesquisadores Profissionais,"rayyan-197782536,Clinicians' perspectives on and interest in participating in a clinical data research network across the Southeastern United States.,2018,7,20,BMC health services research,1472-6963 (Electronic),18,1,568,Unertl KM and Fair AM and Favours JS and Dolor RJ and Smoot D and Wilkins CH,https://pubmed.ncbi.nlm.nih.gov/30029660/,eng,,England,""BACKGROUND: Partnerships between clinicians and researchers could increase the generalizability of research findings and increase uptake of research results across populations. Yet engaging clinicians in research is challenging. Clinical Data Research Networks (CDRNs) provide access to a broad array of clinical data, patients, clinicians and health systems by building on existing health records (EHRs) to facilitate multi-site community engaged research (CEnR). METHODS: A mixed-methods sequential explanatory design was employed. Sixty semi-structured interviews with clinicians from various disciplines and healthcare settings were conducted using five open-ended questions. Inductive content analysis was used to identify emerging themes in the data. RESULTS: We identified the following emerging themes: 1) Research with relevance and benefits to clinics and provider's patient population", 2) Difficulties of engaging in research with existing patient care demands," 3) Clear and continuous two-way communication about research, coordinated with provider and clinic needs", 4) Tailored compensation approaches meet provider preferences," 5) Increasing clinician awareness about Clinical Data Research Networks (CDRNs). CONCLUSION: Our interview study provides insight into community clinician perspectives on Clinical Data Research Networks, indicating motivations and challenges to research involvement including consequences of time spent on research participation, barriers to expanding research and meaningful involvement in research governance. Findings can be used to guide the development of strategies to better engage providers in research in clinical settings, which could ultimately improve patient outcomes."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12913-018-3399-9,*Attitude of Health Personnel",Biomedical Research/*organization & administration,Communication,Humans,
,Done,205,"



Pesquisadores Comitê de Etica",,,,,Pesquisadores Comitê de Etica,"rayyan-197782539,""Better governance, better access: practising responsible data sharing in the METADAC governance infrastructure."",2018,4,26,Human genomics,1479-7364 (Electronic),12,1,24,Murtagh MJ and Blell MT and Butters OW and Cowley L and Dove ES and Goodman A and Griggs RL and Hall A and Hallowell N and Kumari M and Mangino M and Maughan B and Mills MC and Minion JT and Murphy T and Prior G and Suderman M and Ring SM and Rogers NT and Roberts SJ and Van der Straeten C and Viney W and Wiltshire D and Wong A and Walker N and Burton PR,https://pubmed.ncbi.nlm.nih.gov/29695297/,eng,,England,""BACKGROUND: Genomic and biosocial research data about individuals is rapidly proliferating, bringing the potential for novel opportunities for data integration and use. The scale, pace and novelty of these applications raise a number of urgent sociotechnical, ethical and legal questions, including optimal methods of data storage, management and access. Although the open science movement advocates unfettered access to research data, many of the UK's longitudinal cohort studies operate systems of managed data access, in which access is governed by legal and ethical agreements between stewards of research datasets and researchers wishing to make use of them. Amongst other things, these agreements aim to respect the reasonable expectations of the research participants who provided data and samples, as expressed in the consent process. Arguably, responsible data management and governance of data and sample use are foundational to the consent process in longitudinal studies and are an important source of trustworthiness in the eyes of those who contribute data to genomic and biosocial research. METHODS: This paper presents an ethnographic case study exploring the foundational principles of a governance infrastructure for Managing Ethico-social, Technical and Administrative issues in Data ACcess (METADAC), which are operationalised through a committee known as the METADAC Access Committee. METADAC governs access to phenotype, genotype and 'omic' data and samples from five UK longitudinal studies. FINDINGS: Using the example of METADAC, we argue that three key structural features are foundational for practising responsible data sharing: independence and transparency", interdisciplinarity," and participant-centric decision-making. We observe that the international research community is proactively working towards optimising the use of research data, integrating/linking these data with routine data generated by health and social care services and other administrative data services to improve the analysis, interpretation and utility of these data. The governance of these new complex data assemblages will require a range of expertise from across a number of domains and disciplines, including that of study participants. Human-mediated decision-making bodies will be central to ensuring achievable, reasoned and responsible decisions about the use of these data"," the METADAC model described in this paper provides an example of how this could be realised."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s40246-018-0154-6,""*Big Data",Biomedical Research/economics/*ethics,"Databases, Genetic/economics/ethics",Genomics/*ethics,Genotype,
,Done,206,"



População Pesquisadores",,,,,População Pesquisadores,"rayyan-197782544,Using an interactive digital calendar with mobile phone reminders by senior people - a focus group study.,2019,4,23,BMC geriatrics,1471-2318 (Electronic),19,1,116,Baric V and Andreassen M and Öhman A and Hemmingsson H,https://pubmed.ncbi.nlm.nih.gov/31014276/,eng,,England,""BACKGROUND: New technologies such as mobile/smartphones have the potential to help senior people perform everyday activities. However, senior people may find it difficult using mobile/smartphones, especially the digital calendar and short text message features. Therefore, senior people might need user-friendly, flexible, and interactive digital calendars that provide them with active reminders about their everyday activities. This study focuses on community dwelling seniors' experiences learning and using RemindMe, an interactive digital calendar with active reminders, as part of customizing an intervention appropriate for senior people with cognitive impairments. METHODS: Four focus groups were conducted with 20 community dwelling seniors (11 men and 9 women) who all had used RemindMe for six weeks. The focus groups were tape recorded, transcribed verbatim, and analysed using content analysis. RESULTS: For participants in this study, using a calendar was an essential part of their everyday lives, but only a few had experiences using a digital calendar. Although the participants described RemindMe as easy to use, they had a difficult time incorporating RemindMe into their daily routines. In part, these difficulties were the result of the participants needing to change their mobile/smartphone routines. Some participants felt that using an interactive digital calendar was a sign of modernity allowing them to take part in the society at large, but others felt that their inability to use the technology was due to their age, dependence, and loss of function. Participants found that receiving active reminders through short text messages followed by actively acknowledging the reminder helped them perform more everyday life activities. This feature gave them a higher sense of independence and control. CONCLUSIONS: Community dwelling seniors found that RemindMe was easy to learn and to use, although they also found it challenging to integrate into their everyday lives. For senior people to make the effort to develop new routines for mobile/smartphone use, a prerequisite for using a digital calendar, they need to be motivated and believe that the technology will make their lives better."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12877-019-1128-9,""Aged","Aged, 80 and over",*Calendars as Topic,*Cell Phone,Cognitive Dysfunction/epidemiology/psychology/therapy,Female,Focus Groups/*methods,Humans,
,Done,208,"



Profissionais Pesquisadores",,,,,Profissionais Pesquisadores,"rayyan-197782547,Working experiences of remote interpreters in health care settings-insights from Austria and Germany.,2025,,,Frontiers in public health,2296-2565 (Electronic),13,,1477965,Klomfar S and Teufel A and Gerger G and Kletecka-Pulker M and Doppler K and Eitenberger M and Völkl-Kernstock S,https://pubmed.ncbi.nlm.nih.gov/39995621/,eng,,Switzerland,""BACKGROUND: The rise in linguistically diverse patient populations has introduced significant challenges in healthcare due to language barriers. Video Remote Interpreting (VRI) has emerged as a cost-effective solution in healthcare settings. However, its impact on interpreters, particularly the specific enabling and hindering factors from their point of view remains underexplored. For example, in some studies, VRI interpreters report higher stress and job dissatisfaction. We hypothesize that interpreters' work experience and supervision attendance mitigate negative effects. We tested this hypothesis using a quantitative approach. Additionally, we analyzed qualitative data to uncover more enabling and hindering factors. METHODS: A sample of 87 interpreters working in Austria and Germany was included in this multi-methods study. Stress, job dissatisfaction, work experience, and supervision were analyzed using correlations and group comparisons. Responses to open-ended questions were analyzed using thematic content analysis to identify enabling and hindering factors, with network analysis exploring their interconnections. RESULTS: Longer work experience correlated with lower stress. Supervision had no significant effect on stress or job satisfaction. Thematic content analysis identified 21 factors affecting VRI: While VRI enhances efficiency and emotional distance, interpreters face technical problems and difficulties arising from the lack of physical presence. Network analysis confirmed that VRI settings are characterized by a close interplay between these enabling and hindering factors. DISCUSSION: Strategies for using VRI can be derived from these data. VRI is an efficient alternative to in-person interpreting, with challenges that can be mitigated. Training healthcare personnel in handling VRI and optimizing VRI conditions can contribute to better healthcare outcomes."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.3389/fpubh.2025.1477965,Humans",Austria,Germany,Female,Male,Adult,*Translating,*Job Satisfaction,
,Done,209,"



População Pesquisadores",,,,,População Pesquisadores,"rayyan-197782549,Acceptance of a Digital Assistant (Anne4Care) for Older Adult Immigrants Living With Dementia: Qualitative Descriptive Study.,2024,4,19,JMIR aging,2561-7605 (Electronic),7,,e50219,Bults M and van Leersum CM and Olthuis TJJ and Siebrand E and Malik Z and Liu L and Miguel-Cruz A and Jukema JS and den Ouden MEM,https://pubmed.ncbi.nlm.nih.gov/38639994/,eng,,Canada,""BACKGROUND: There is a need to develop and coordinate dementia care plans that use assistive technology for vulnerable groups such as immigrant populations. However, immigrant populations are seldom included in various stages of the development and implementation of assistive technology, which does not optimize technology acceptance. OBJECTIVE: This study aims to gain an in-depth understanding of the acceptance of a digital personal assistant, called Anne4Care, by older adult immigrants living with dementia in their own homes. METHODS: This study used a qualitative descriptive research design with naturalistic inquiry. A total of 13 older adults participated in this study. The participants were invited for 2 interviews. After an introduction of Anne4Care, the first interview examined the lives and needs of participants, their expectations, and previous experiences with assistive technology in daily life. Four months later, the second interview sought to understand facilitators and barriers, suggestions for modifications, and the role of health care professionals. Three semistructured interviews were conducted with health care professionals to examine the roles and challenges they experienced in the use and implementation of Anne4Care. Content analysis, using NVivo11, was performed on all transcripts. RESULTS: All 13 participants had an immigration background. There were 10 male and 3 female participants, with ages ranging from 52 to 83 years. Participants were diagnosed with an early-stage form of dementia or acquired brain injury. None of the older adult participants knew or used digital assistive technology at the beginning. They obtained assistance from health care professionals and family caregivers who explained and set up the technology. Four themes were found to be critical aspects of the acceptance of the digital personal assistant Anne4Care: (1) use of Anne4Care, (2) positive aspects of Anne4Care, (3) challenges with Anne4Care, and (4) expectations. Assistance at first increased the burden on health care professionals and families. After the initial effort, most health care professionals and families experienced that Anne4Care reduced their tasks and stress. Contributions of Anne4Care included companionship, help with daily tasks, and opportunities to communicate in multiple languages. On the other hand, some participants expressed anxiety toward the use of Anne4Care. Furthermore, the platform required an internet connection at home and Anne4Care could not be used outside the home. CONCLUSIONS: Although older adult immigrants living with dementia had no previous experience with digital assistive technology specifically, the acceptance of the digital personal assistant, called Anne4Care, by older adult immigrants living with dementia was rather high. The digital assistant can be further developed to allow for interactive conversations and for use outside of one's home. Participation of end users during various stages of the development, refinement, and implementation of health technology innovations is of utmost importance to maximize technology acceptance."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.2196/50219,Humans",Male,Female,Aged,*Dementia/diagnosis,Caregivers,Qualitative Research,*Self-Help Devices,
,Done,210,"



Desenvolvedores Comitê de Etica Pesquisadores",,,,,Desenvolvedores Comitê de Etica Pesquisadores,"rayyan-197782556,Testing and Practical Implementation of a User-Friendly Personalized and Long-Term Electronic Informed Consent Prototype in Clinical Research: Mixed Methods Study.,2023,12,19,Journal of medical Internet research,1438-8871 (Electronic),25,,e46306,De Sutter E and Geerts D and Yskout K and Verreydt S and Borry P and Barbier L and Huys I,https://pubmed.ncbi.nlm.nih.gov/38113088/,eng,,Canada,""BACKGROUND: Over the years, there has been increasing interest in electronic informed consent (eIC) in clinical research. The user-friendliness of an eIC application and its acceptance by stakeholders plays a central role in achieving successful implementation. OBJECTIVE: This study aims to identify insights for the design and implementation of a user-friendly, personalized, and long-term eIC application based on a usability study with (potential) research participants and semistructured interviews with stakeholders on the practical integration of such an application into their daily practice. METHODS: An eIC prototype was evaluated and refined through usability testing among Belgian citizens and iterative redesign. On the basis of a digital literacy questionnaire, a heterogeneous sample of participants was established. Participants needed to complete a series of usability tasks related to personalization and long-term interaction with the research team while using the """"think aloud"""" technique. In addition, usability tests involved completing the System Usability Scale questionnaire and taking part in a semistructured feedback interview. Furthermore, semistructured interviews were conducted with ethics committee members, health care professionals, and pharmaceutical industry representatives active in Belgium and involved in clinical research. Thematic analysis was undertaken using the NVivo software (Lumivero). RESULTS: In total, 3 iterations of usability tests were conducted with 10 participants each. Each cycle involved some participants who reported having low digital skills. The System Usability Scale scores related to the tasks on personalization and long-term interaction increased after each iteration and reached 69.5 (SD 8.35) and 71.3 (SD 16.1) out of 100, respectively, which represents above-average usability. Semistructured interviews conducted with health care professionals (n=4), ethics committee members (n=8), and pharmaceutical industry representatives (n=5) identified the need for an eIC system that can be easily set up. For example, a library could be established enabling stakeholders to easily provide background information about a clinical study, presented in the second layer of the interface. In contrast, some functionalities, such as informing participants about new studies through an eIC system, were not considered useful by stakeholders. CONCLUSIONS: This study provides insights for the implementation of a user-friendly personalized and long-term eIC application. The study findings showed that usability testing is key to assessing and increasing the user-friendliness of an eIC application. Although this eIC system has the potential to be usable by a wide audience, participants with low digital literacy may not be able to use it successfully, highlighting the need for additional support for participants or other alternatives to an eIC system. In addition, key lessons emerging from the interviews included ensuring that the application is easy to implement in practice and is interoperable with other established systems."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.2196/46306,Humans",*Software,*Health Personnel,User-Centered Design,Electronics,"Informed Consent,38113088,PMC10762617",,,
,Done,211,"



Profissionais Pesquisadores",,,,,Profissionais Pesquisadores,"rayyan-197782557,Working with national quality registries in older people care: A qualitative study of perceived impact on assistant nurses' work situation.,2021,1,,Nursing open,2054-1058 (Electronic),8,1,130-139,Westerlund A and Sparring V and Hasson H and Weinehall L and Nyström ME,https://pubmed.ncbi.nlm.nih.gov/33318820/,eng,,United States,""AIM: The aim was to investigate assistant nurses' perceptions of how working with national quality registries affected their work situation in care of older people. DESIGN: Qualitative interview study. METHODS: Sixteen semi-structured interviews were conducted at four special housing units in Sweden, and a conventional content analysis, with elements of thematic analysis, was applied. RESULTS: The introduction of national quality registries contributed to role clarifications and the development of new formal work procedures in terms of documentation and arenas and routines for communication. The increased systematics and effectiveness gained from these changes had a perceived positive effect on the work situation, workload, work satisfaction, staff interactions and learning and reflection."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1002/nop2.611,""Aged",Humans,Job Satisfaction,*Nurses,"*Nursing Staff, Hospital",Registries,"Sweden"",33318820,PMC7729790",,
,Done,212,"



Profissionais Pesquisadores",,,,,Profissionais Pesquisadores,"rayyan-197782560,PharmoCo: a graph-based visualization of pharmacogenomic plausibility check reports for clinical decision support systems.,2023,12,1,Journal of integrative bioinformatics,1613-4516 (Electronic),20,4,,Raupach L and Königs C,https://pubmed.ncbi.nlm.nih.gov/38150373/,eng,,Germany,""The first approaches in recent years for the integration of pharmacogenomic plausibility checks into clinical practice show both a promising improvement in the drug therapy safety, but also difficulties in application. One of the difficulties is the meaningful interpretation of the text-based results by the medical practitioner. We propose here as an appropriate and sensible solution to avoid misunderstandings and to include evidence-based, pharmacogenomic recommendations in prescriptions, which should be the graph-based visualization of the reports. This allows for a plausible interpretation and relate complex, even contradictory guidelines. The improved overview over the pharmacogenomics (PGx) guidelines using the graphical visualization makes the medical practitioner's choice of dose and medication more patient-specific, improves the treatment outcome and thus, increases the drug therapy safety."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1515/jib-2023-0026,""Humans","*Decision Support Systems, Clinical",*Pharmacogenetics/methods,"Precision Medicine/methods"",38150373,PMC10777363",,,,,
,Done,213,"



Pesquisadores",,,,,Pesquisadores,"rayyan-197782561,""Notable Papers and Trends from 2019 in Sensors, Signals, and Imaging Informatics."",2020,8,,Yearbook of medical informatics,2364-0502 (Electronic),29,1,139-144,Hsu W and Baumgartner C and Deserno TM,https://pubmed.ncbi.nlm.nih.gov/32823307/,eng,,Germany,""OBJECTIVE: To highlight noteworthy papers that are representative of 2019 developments in the fields of sensors, signals, and imaging informatics. METHOD: A broad literature search was conducted in January 2020 using PubMed. Separate predefined queries were created for sensors/signals and imaging informatics using a combination of Medical Subject Heading (MeSH) terms and keywords. Section editors reviewed the titles and abstracts of both sets of results. Papers were assessed on a three-point Likert scale by two co-editors, rated from 3 (do not include) to 1 (should be included). Papers with an average score of 2 or less were then read by all three section editors, and the group nominated top papers based on consensus. These candidate best papers were then rated by at least six external reviewers. RESULTS: The query related to signals and sensors returned a set of 255 papers from 140 unique journals. The imaging informatics query returned a set of 3,262 papers from 870 unique journals. Based on titles and abstracts, the section co-editors jointly filtered the list down to 50 papers from which 15 candidate best papers were nominated after discussion. A composite rating after review determined four papers which were then approved by consensus of the International Medical Informatics Association (IMIA) Yearbook editorial board. These best papers represent different international groups and journals. CONCLUSIONS: The four best papers represent state-of-the-art approaches for processing, combining, and analyzing heterogeneous sensor and imaging data. These papers demonstrate the use of advanced machine learning techniques to improve comparisons between images acquired at different time points, fuse information from multiple sensors, and translate images from one modality to another."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1055/s-0040-1702004,""Deep Learning",*Diagnostic Imaging/trends,Humans,Medical Informatics/ethics,"Neural Networks, Computer","*Signal Processing, Computer-Assisted"",32823307,PMC7442508",,,
,Done,214,"



Pesquisadores Profissionais",,,,,Pesquisadores Profissionais,"rayyan-197782563,Data to diagnosis in global health: a 3P approach.,2018,9,4,BMC medical informatics and decision making,1472-6947 (Electronic),18,1,78,Pathinarupothi RK and Durga P and Rangan ES,https://pubmed.ncbi.nlm.nih.gov/30180839/,eng,,England,""BACKGROUND: With connected medical devices fast becoming ubiquitous in healthcare monitoring there is a deluge of data coming from multiple body-attached sensors. Transforming this flood of data into effective and efficient diagnosis is a major challenge. METHODS: To address this challenge, we present a 3P approach: personalized patient monitoring, precision diagnostics, and preventive criticality alerts. In a collaborative work with doctors, we present the design, development, and testing of a healthcare data analytics and communication framework that we call RASPRO (Rapid Active Summarization for effective PROgnosis). The heart of RASPRO is Physician Assist Filters (PAF) that transform unwieldy multi-sensor time series data into summarized patient/disease specific trends in steps of progressive precision as demanded by the doctor for patient's personalized condition at hand and help in identifying and subsequently predictively alerting the onset of critical conditions. The output of PAFs is a clinically useful, yet extremely succinct summary of a patient's medical condition, represented as a motif, which could be sent to remote doctors even over SMS, reducing the need for data bandwidths. We evaluate the clinical validity of these techniques using SVM machine learning models measuring both the predictive power and its ability to classify disease condition. We used more than 16,000 min of patient data (N=70) from the openly available MIMIC II database for conducting these experiments. Furthermore, we also report the clinical utility of the system through doctor feedback from a large super-speciality hospital in India. RESULTS: The results show that the RASPRO motifs perform as well as (and in many cases better than) raw time series data. In addition, we also see improvement in diagnostic performance using optimized sensor severity threshold ranges set using the personalization PAF severity quantizer. CONCLUSION: The RASPRO-PAF system and the associated techniques are found to be useful in many healthcare applications, especially in remote patient monitoring. The personalization, precision, and prevention PAFs presented in the paper successfully shows remarkable performance in satisfying the goals of 3Ps, thereby providing the advantages of three A's: availability, affordability, and accessibility in the global health scenario."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12911-018-0658-y,""Communication",*Electronic Data Processing,*Global Health,Humans,India,"*Monitoring, Physiologic",*Precision Medicine,"Remote Sensing Technology"",30180839,PMC6124014",
,Done,215,"



Pesquisadores Profissionais",,,,,Pesquisadores Profissionais,"rayyan-197782569,Improving event prediction using general practitioner clinical judgement in a digital risk stratification model: a pilot study.,2024,12,18,BMC medical informatics and decision making,1472-6947 (Electronic),24,1,382,Parry E and Ahmed K and Guest E and Klaire V and Koodaruth A and Labutale P and Matthews D and Lampitt J and Nevill A and Pickavance G and Sidhu M and Warren K and Singh BM,https://pubmed.ncbi.nlm.nih.gov/39696351/,eng,,England,""BACKGROUND: Numerous tools based on electronic health record (EHR) data that predict risk of unscheduled care and mortality exist. These are often criticised due to lack of external validation, potential for low predictive ability and the use of thresholds that can lead to large numbers being escalated for assessment that would not have an adverse outcome leading to unsuccessful active case management. Evidence supports the importance of clinical judgement in risk prediction particularly when ruling out disease. The aim of this pilot study was to explore performance analysis of a digitally driven risk stratification model combined with GP clinical judgement to identify patients with escalating urgent care and mortality events. METHODS: Clinically risk stratified cohort study of 6 GP practices in a deprived, multi-ethnic UK city. Initial digital driven risk stratification into Escalated and Non-escalated groups used 7 risk factors. The Escalated group underwent stratification using GP global clinical judgement (GCJ) into Concern and No concern groupings. RESULTS: 3968 out of 31,392 patients were data stratified into the Escalated group and further categorised into No concern (n = 3450 (10.9%)) or Concern (n = 518 (1.7%)) by GPs. The 30-day combined event rate (unscheduled care or death) per 1,000 was 19.0 in the whole population, 67.8 in the Escalated group and 168.0 in the Concern group (p < 0.001). The de-escalation effect of GP assessment into No Concern versus Concern was strongly negatively predictive (OR 0.25 (95%CI 0.19-0.33"," p < 0.001)). The whole population ROC for the global approach (Non-escalated, GP No Concern, GP Concern) was 0.614 (0.592-0.637), p < 0.001, and the increase in the ROC area under the curve for 30-day events was all focused here ( 0.4% (0.3-0.6%, p < 0.001), translating into a specific ROC c-statistic for GP GCJ of 0.603 ((0.565-0.642), p < 0.001). CONCLUSIONS: The digital only component of the model performed well but adding GP clinical judgement significantly improved risk prediction, particularly by adding negative predictive value."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12911-024-02797-5,Humans",Pilot Projects,Risk Assessment/methods,Female,Middle Aged,Male,*General Practitioners,
